# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
84000000 170.054 284.075 358.258 812.388 1.73068e+07 211004 0.029046
84100000 177.401 284.266 391.985 853.652 1.97675e+07 231396 0.0291334
84200000 188.683 295.645 366.041 850.369 2.04189e+07 233067 0.029152
84300000 189.94 304.704 374.732 869.377 2.16879e+07 243235 0.0291783
84400000 184.703 322.278 357.73 864.711 2.12941e+07 240888 0.0291992
84500000 199.417 325.537 339.996 864.949 2.20717e+07 243399 0.0291742
84600000 192.948 319.936 350.614 863.498 2.16437e+07 241555 0.0291692
84700000 210.431 303.854 348.882 863.168 2.23077e+07 243365 0.0291262
84800000 198.604 304.683 368.158 871.445 2.22777e+07 245800 0.0291255
84900000 186.633 316.451 337.963 841.046 1.99601e+07 229084 0.0291224
85000000 168.829 312.882 357.243 838.954 1.88708e+07 224911 0.0291763
85100000 166.072 282.335 348.925 797.332 1.63603e+07 203348 0.0292209
85200000 182.474 281.601 348.111 812.186 1.78877e+07 212935 0.0292306
85300000 183.781 283.575 342.558 809.913 1.78526e+07 212212 0.0292316
85400000 180.701 289.232 343.288 813.221 1.79418e+07 213587 0.0292392
85500000 189.208 294.192 328.104 811.504 1.82634e+07 214269 0.0292176
85600000 194.29 296.888 322.173 813.352 1.85837e+07 215927 0.0291835
85700000 182.829 317.855 323.487 824.171 1.87988e+07 220078 0.0291787
85800000 203.728 323.14 338.089 864.957 2.22573e+07 243961 0.029145
85900000 192.572 312.339 329.331 834.242 1.98085e+07 226431 0.0291232
86000000 199.582 301.198 325.925 826.704 1.95925e+07 223330 0.0290844
86100000 221.948 304.626 320.798 847.372 2.16895e+07 236535 0.0290099
86200000 230.001 288.43 319.033 837.465 2.11644e+07 231736 0.0289253
86300000 236.917 282.782 292.811 812.51 1.96171e+07 219169 0.0288278
86400000 223.395 271.313 317.129 811.837 1.92212e+07 217496 0.0287545
86500000 230.215 276.83 326.961 834.006 2.08373e+07 229514 0.0286781
86600000 213.02 268.9 315.596 797.517 1.80777e+07 209374 0.0286175
86700000 200.969 277.903 317.434 796.306 1.77286e+07 207860 0.028573
86800000 221.172 288.871 306.134 816.177 1.9559e+07 220032 0.0284974
86900000 205.663 284.221 314.224 804.107 1.83675e+07 212387 0.0284453
87000000 211.026 307.17 319.834 838.03 2.07319e+07 230558 0.0283912
87100000 226.938 303.318 323.893 854.149 2.2295e+07 240581 0.0283172
87200000 232.084 274.422 318.177 824.684 2.02644e+07 224848 0.0282387
87300000 229.063 258.632 312.931 800.626 1.8539e+07 211858 0.0281664
87400000 215.136 248.524 312.797 776.456 1.67241e+07 198498 0.0281118
87500000 212.211 250.927 323.856 786.993 1.72451e+07 203239 0.0280678
87600000 219.437 251.581 330.975 801.992 1.82718e+07 211101 0.0280217
87700000 202.848 256.145 346.742 805.735 1.80162e+07 211111 0.0280087
87800000 219.179 272.859 314.572 806.609 1.88129e+07 214586 0.027945
87900000 207.701 288.377 311.667 807.745 1.86677e+07 214507 0.027893
88000000 208.2 279.375 314.44 802.016 1.82897e+07 211479 0.0278421
88100000 200.694 284.081 352.754 837.53 2.01117e+07 228020 0.0278303
88200000 215.588 283.901 340.786 840.275 2.0858e+07 231424 0.0277869
88300000 217.47 252.205 333.971 803.647 1.83174e+07 211705 0.0277472
88400000 212.268 261.52 330.814 804.601 1.83642e+07 212248 0.027707
88500000 217.928 285.018 333.19 836.136 2.06956e+07 229690 0.0276561
88600000 210.03 282.035 329.472 821.537 1.95165e+07 221357 0.0276136
88700000 211.075 254.162 332.485 797.722 1.78369e+07 208332 0.02758
88800000 203.007 267.075 318.975 789.057 1.72942e+07 204162 0.0275419
88900000 224.365 253.842 319.48 797.687 1.81954e+07 209731 0.0274858
89000000 240.292 256.334 309.904 806.53 1.90885e+07 215501 0.0274112
89100000 232.872 276.871 308.504 818.248 1.9891e+07 221734 0.0273362
89200000 233.785 293.025 298.835 825.646 2.04717e+07 225934 0.0272576
89300000 232.48 258.568 314.778 805.826 1.89219e+07 214683 0.0271918
89400000 235.152 266.213 326.021 827.386 2.04091e+07 226056 0.0271272
89500000 227.796 269.565 292.204 789.564 1.7943e+07 206736 0.0270549
89600000 245.623 268.54 301.279 815.442 1.98723e+07 220866 0.0269727
89700000 223.44 259.53 309.964 792.935 1.79747e+07 207693 0.0269136
89800000 219.179 268.417 328.555 816.151 1.93294e+07 219034 0.026867
89900000 233.277 261.376 326.257 820.909 1.98928e+07 222357 0.0268083
90000000 252.673 284.336 352.358 889.367 2.53148e+07 261063 0.0267388
90100000 229.28 297.127 342.811 869.218 2.33541e+07 248583 0.026685
90200000 230.595 305.658 331.478 867.73 2.33636e+07 248239 0.0266241
90300000 225.195 288.552 331.6 845.347 2.15475e+07 235339 0.0265707
90400000 223.155 260.25 340.034 823.439 1.97478e+07 222450 0.0265334
90500000 224.774 274.98 343.849 843.603 2.12527e+07 233648 0.0264919
90600000 220.675 263.833 339.877 824.385 1.97881e+07 222894 0.026456
90700000 210.626 286.518 351.511 848.655 2.12131e+07 235100 0.0264351
90800000 205.905 264.169 325.366 795.44 1.76978e+07 207340 0.0264048
90900000 205.412 273.612 332.736 811.759 1.87007e+07 215591 0.0263786
91000000 207.919 260.618 331.376 799.913 1.79564e+07 209449 0.0263518
91100000 213.876 270.782 312.578 797.237 1.81026e+07 209408 0.026305
91200000 216.232 260.168 336.634 813.034 1.89379e+07 216629 0.0262739
91300000 214.94 246.718 336.727 798.385 1.78565e+07 208482 0.0262503
91400000 222.916 236.504 355.529 814.949 1.87437e+07 216058 0.0262431
91500000 212.651 234.923 334.007 781.582 1.66859e+07 199450 0.0262258
91600000 220.492 240.84 336.366 797.697 1.78621e+07 208279 0.0262003
91700000 213.861 281.115 351.599 846.575 2.1138e+07 234153 0.026178
91800000 206.078 277.081 353.282 836.441 2.01725e+07 227791 0.026168
91900000 216.23 271.9 375.227 863.357 2.20607e+07 241953 0.0261681
92000000 222.522 256.464 346.494 825.48 1.9774e+07 223035 0.0261414
92100000 230.842 263.381 318.932 813.155 1.93909e+07 218423 0.0260868
92200000 258.784 293.265 318.756 870.805 2.41911e+07 251861 0.0260048
92300000 235.746 300.948 334.563 871.256 2.37363e+07 250505 0.0259465
