# Radius of Gyration Tensor of DendrimerRGTensorAnalyzer: whole Molecule with endgroups
# time    R_1   R_2   R_3   Tr   D   M   <A>
80700000 310.371 358.838 447.85 1117.06 4.98783e+07 411078 0.017647
80800000 318.726 371.258 423.333 1113.32 5.00928e+07 410422 0.0175863
80900000 326.959 372.321 405.998 1105.28 4.94236e+07 405640 0.0175121
81000000 288.784 379.422 407.49 1075.7 4.4649e+07 381858 0.0174738
81100000 291.773 399.985 429.211 1120.97 5.00909e+07 413615 0.0174465
81200000 286.187 388.303 455.646 1130.14 5.06347e+07 418456 0.0174446
81300000 291.329 335.264 417.198 1043.79 4.07486e+07 359085 0.0174153
81400000 303.531 358.16 448.166 1109.86 4.87212e+07 405260 0.0173918
81500000 283.954 363.904 458.182 1106.04 4.73449e+07 400169 0.0173985
81600000 316.371 349.421 431.286 1097.08 4.76773e+07 397694 0.017354
81700000 301.793 351.275 430.422 1083.49 4.563e+07 387107 0.0173211
81800000 329.992 346.363 408.121 1084.48 4.66471e+07 390332 0.0172566
81900000 328.516 384.751 412.262 1125.53 5.21086e+07 420450 0.0171878
82000000 301.847 355.542 435.951 1093.34 4.6786e+07 393909 0.0171591
82100000 276.112 344.209 400.525 1020.85 3.8066e+07 343495 0.0171331
82200000 249.925 403.291 433.087 1086.3 4.3652e+07 383692 0.0171694
82300000 273.801 359.914 464.039 1097.76 4.57288e+07 392614 0.0171963
82400000 289.551 376.427 393.738 1059.72 4.29154e+07 371216 0.0171555
82500000 287.359 396.302 430.877 1114.54 4.90687e+07 408455 0.0171372
82600000 303.165 367.911 472.954 1144.03 5.27523e+07 428926 0.0171356
82700000 258.054 334.408 440.545 1033.01 3.80169e+07 347301 0.0171635
82800000 246.968 354.539 458.83 1060.34 4.01751e+07 363549 0.0172213
82900000 285.044 344.19 432.774 1062.01 4.24592e+07 370426 0.0172099
83000000 281.24 321.657 467.256 1070.15 4.22692e+07 372170 0.0172458
83100000 251.053 347.596 473.199 1071.85 4.12937e+07 370545 0.0173148
83200000 239.367 350.916 494.792 1085.07 4.15613e+07 376065 0.0174286
83300000 265.85 363.403 462.56 1091.81 4.46883e+07 387678 0.017461
83400000 245.719 386.744 448.216 1080.68 4.2594e+07 378510 0.0175077
83500000 252.659 375.394 421.935 1049.99 4.00191e+07 359844 0.0175219
83600000 287.767 360.38 443.573 1091.72 4.60009e+07 391206 0.0175116
83700000 267.139 367.239 467.273 1101.65 4.58412e+07 394531 0.0175455
83800000 285.843 413.849 455.591 1155.28 5.38944e+07 437069 0.0175457
83900000 276.48 396.688 432.684 1105.85 4.74552e+07 400945 0.0175404
84000000 283.391 385.264 413.385 1082.04 4.51335e+07 385592 0.0175157
84100000 287.427 375.183 475.594 1138.2 5.12869e+07 422971 0.0175305
84200000 307.35 358.686 490.991 1157.03 5.41279e+07 437260 0.0175435
84300000 277.146 333.481 454.36 1064.99 4.19933e+07 369867 0.0175611
84400000 292.766 338.779 449.23 1080.78 4.4556e+07 382892 0.017557
84500000 280.221 326.788 420.687 1027.7 3.85235e+07 346934 0.0175451
84600000 272.198 312.565 479.46 1064.22 4.07923e+07 365450 0.0176057
84700000 256.497 365.1 517.252 1138.85 4.8439e+07 415169 0.0177112
84800000 258.831 383.896 482.811 1125.54 4.7974e+07 409679 0.0177675
84900000 232.701 340.996 486.505 1060.2 3.86043e+07 358457 0.0178724
85000000 228.096 361.515 457.952 1047.56 3.77628e+07 352474 0.0179464
85100000 278.145 386.58 418.407 1083.13 4.49893e+07 385651 0.0179289
85200000 278.331 400.991 457.845 1137.17 5.10993e+07 422633 0.0179364
85300000 268.821 426.262 453.179 1148.26 5.19289e+07 429585 0.0179583
85400000 244.721 399.391 430.689 1074.8 4.20953e+07 375151 0.0179904
85500000 260.596 409.301 455.596 1125.49 4.85949e+07 411865 0.0180202
85600000 265.657 371.809 486.283 1123.75 4.80318e+07 408762 0.0180689
85700000 276.503 336.789 492.668 1105.96 4.58788e+07 395273 0.0181226
85800000 257.144 363.156 547.838 1168.14 5.1159e+07 433207 0.0182637
85900000 250.157 366.948 529.065 1146.17 4.85654e+07 418284 0.0183856
86000000 241.098 370.717 520.951 1132.77 4.65621e+07 408104 0.0185082
86100000 236.97 361.236 486.449 1084.66 4.16411e+07 376599 0.0185945
86200000 252.073 395.323 439.935 1087.33 4.38395e+07 384462 0.0186184
86300000 242.211 394.682 440.212 1077.11 4.20827e+07 375964 0.018655
86400000 208.998 384.025 457.231 1050.25 3.66976e+07 351409 0.0187516
86500000 220.222 391.259 453.356 1064.84 3.9063e+07 363383 0.0188283
86600000 272.211 404.298 463.468 1139.98 5.10068e+07 423595 0.0188429
86700000 288.87 382.493 438.641 1110 4.84657e+07 404978 0.0188224
86800000 280.406 374.944 434.292 1089.64 4.56599e+07 389749 0.018808
86900000 276.941 361.489 424.597 1063.03 4.2507e+07 371187 0.018792
87000000 269.356 336.557 467.079 1072.99 4.23424e+07 373663 0.018821
87100000 274.374 341.976 431.823 1048.17 4.05177e+07 359984 0.0188145
87200000 270.158 384.144 439.019 1093.32 4.55613e+07 391031 0.0188137
87300000 244.975 388.422 450.709 1084.11 4.28866e+07 380631 0.018851
87400000 268.823 326.154 501.451 1096.43 4.39661e+07 386030 0.0189214
87500000 278.206 338.281 486.402 1102.89 4.57761e+07 393972 0.0189589
87600000 298.45 344.467 474.607 1117.52 4.87926e+07 407939 0.0189633
87700000 310.936 361.703 449.257 1121.9 5.05264e+07 414654 0.0189335
87800000 322.735 370.476 448.976 1142.19 5.36821e+07 430801 0.018893
87900000 318.771 358.401 446.196 1123.37 5.09769e+07 416399 0.0188572
88000000 305.41 339.964 416.206 1061.58 4.3214e+07 372437 0.0188199
88100000 289.537 368.043 449.655 1107.23 4.79161e+07 402246 0.0188077
88200000 260.298 374.907 487.781 1122.99 4.76013e+07 407428 0.0188558
88300000 257.229 341.062 451.653 1049.94 3.96241e+07 357951 0.0188803
88400000 257.766 329.233 503.919 1090.92 4.27652e+07 380665 0.0189615
88500000 259.781 322.545 506.711 1089.04 4.24578e+07 378862 0.0190463
88600000 229.207 358.202 492.304 1079.71 4.04193e+07 371286 0.0191396
88700000 253.005 359.735 460.226 1072.97 4.18873e+07 373013 0.0191715
88800000 253.693 369.403 492.192 1115.29 4.61258e+07 400398 0.0192302
88900000 276.663 348.412 467.246 1092.32 4.50391e+07 388456 0.0192452
89000000 280.246 366.576 446.878 1093.7 4.59084e+07 391782 0.0192385
89100000 272.216 360.305 446.216 1078.74 4.37652e+07 380321 0.0192395
89200000 257.951 356.416 420.995 1035.36 3.87055e+07 350584 0.0192382
89300000 267.329 353.015 440.758 1061.1 4.15948e+07 367792 0.019241
89400000 273.009 359.572 419.601 1052.18 4.11907e+07 363598 0.0192257
89500000 297.606 346.276 451.065 1094.95 4.6484e+07 393486 0.0192117
89600000 291.657 341.156 468.78 1101.59 4.66439e+07 396151 0.019217
89700000 281.732 367.689 497.546 1146.97 5.15406e+07 426706 0.0192476
89800000 271.872 339.732 486.65 1098.25 4.49489e+07 390001 0.0192865
89900000 274.625 351.075 485.101 1110.8 4.67705e+07 399942 0.0193172
90000000 271.352 297.382 502.461 1071.2 4.05462e+07 366462 0.0193945
90100000 268.954 311.748 500.616 1081.32 4.19747e+07 374555 0.0194627
90200000 267.978 293.129 464.018 1025.12 3.64495e+07 338915 0.0195033
90300000 284.902 306.333 446.214 1037.45 3.89433e+07 351092 0.0195093
90400000 288.86 297.608 429.056 1015.52 3.68847e+07 337595 0.0195045
90500000 286.733 340.638 415.624 1043 4.05949e+07 358423 0.0194791
90600000 313.618 341.427 421.096 1076.14 4.50899e+07 382914 0.0194404
90700000 277.42 382.265 500.451 1160.14 5.30717e+07 436188 0.019473
90800000 281.149 381.327 487.447 1149.92 5.2259e+07 430131 0.019491
90900000 274.044 356.374 475.874 1106.29 4.64749e+07 397662 0.0195113
91000000 273.978 379.108 495.105 1148.19 5.14252e+07 427214 0.019543
91100000 264.284 331.91 491.617 1087.81 4.31238e+07 380817 0.019594
91200000 289.164 336.532 444.798 1070.49 4.32846e+07 375621 0.0195844
91300000 255.039 375.118 455.707 1085.86 4.35974e+07 382837 0.0196058
91400000 217.619 384.753 474.018 1076.39 3.96893e+07 369265 0.0196858
91500000 251.348 382.86 484.991 1119.2 4.66712e+07 403816 0.0197326
91600000 240.127 386.153 454.121 1080.4 4.21087e+07 377133 0.0197688
91700000 251.527 382.77 450.751 1085.05 4.33969e+07 382187 0.0197899
91800000 269.427 420.694 473.633 1163.75 5.36846e+07 440210 0.0198093
91900000 246.135 416.522 462.668 1125.32 4.7433e+07 409110 0.0198482
92000000 280.328 406.854 445.345 1132.53 5.07927e+07 420085 0.0198396
92100000 241.943 382.168 434.71 1058.82 4.01946e+07 363770 0.0198606
92200000 263.478 396.226 477.644 1137.35 4.98646e+07 419501 0.0198865
92300000 261.751 409.735 427.242 1098.73 4.58211e+07 394135 0.0198887
92400000 275.371 376.2 424.028 1075.6 4.3927e+07 379879 0.0198729
92500000 238.621 405.625 446.295 1090.54 4.31973e+07 384315 0.0199077
92600000 259.004 399.491 446.341 1104.84 4.61827e+07 397383 0.0199192
92700000 250.089 341.544 457.669 1049.3 3.90925e+07 356189 0.0199479
92800000 259.727 351.927 453.044 1064.7 4.14104e+07 368511 0.0199627
92900000 272.125 328.218 454.733 1055.08 4.0615e+07 362312 0.0199736
93000000 282.067 290.823 422.574 995.464 3.46644e+07 324120 0.0199703
93100000 299.543 317.362 412.401 1029.31 3.92043e+07 349476 0.0199431
93200000 297.27 319.913 423.576 1040.76 4.02824e+07 356525 0.0199216
93300000 300.113 329.346 406.271 1035.73 4.01563e+07 354572 0.0198886
93400000 225.02 349.996 379.978 954.993 2.99256e+07 297249 0.0198943
93500000 274.816 373.624 383.282 1031.72 3.93545e+07 351213 0.0198667
93600000 299.457 353.153 390.879 1043.49 4.13371e+07 360846 0.0198261
93700000 286.754 376.039 412.85 1075.64 4.4518e+07 381465 0.0197987
93800000 281.253 391.409 406.277 1078.94 4.4725e+07 383372 0.0197749
93900000 295.621 388.381 423.025 1107.03 4.85689e+07 404163 0.0197454
94000000 290.316 388.566 438.278 1117.16 4.94408e+07 410346 0.0197254
94100000 304.484 343.987 466.042 1114.51 4.88125e+07 406953 0.0197169
94200000 277.852 371.594 450.337 1099.78 4.64964e+07 395718 0.0197131
94300000 273.126 352.849 449.238 1075.21 4.32941e+07 377584 0.0197145
94400000 278.526 334.62 432.018 1045.16 4.02643e+07 358091 0.0197056
94500000 255.097 328.083 441.588 1024.77 3.69579e+07 341219 0.0197206
94600000 261.105 380.012 434.102 1075.22 4.30729e+07 377533 0.0197224
94700000 248.246 396.035 485.072 1129.35 4.76895e+07 410837 0.019768
94800000 229.066 341.095 460.235 1030.4 3.59598e+07 340542 0.0198168
94900000 255.255 336.064 481.505 1072.82 4.13045e+07 370505 0.0198593
95000000 253.626 360.507 487.832 1101.96 4.46044e+07 391028 0.0199028
95100000 279.686 371.49 462.796 1113.97 4.80848e+07 405262 0.019904
95200000 257.985 344.304 475.731 1078.02 4.22569e+07 375353 0.0199367
95300000 249.197 387.29 465.618 1102.11 4.49376e+07 392872 0.0199664
95400000 244.274 396.466 508.702 1149.44 4.92659e+07 422792 0.0200329
95500000 244.348 394.605 504.439 1143.39 4.86386e+07 418735 0.0200954
95600000 261.301 415.944 495.875 1173.12 5.3895e+07 444515 0.0201328
95700000 275.703 398.795 530.391 1204.89 5.83159e+07 467696 0.0201811
95800000 246.892 445.046 513.338 1205.28 5.64046e+07 465076 0.0202509
95900000 245.326 412.802 527.824 1185.95 5.34533e+07 448647 0.02033
96000000 249.731 407.367 520.02 1177.12 5.29028e+07 443436 0.0203967
96100000 273.09 382.001 487.011 1142.1 5.08052e+07 423356 0.0204157
96200000 279.948 370.704 460.475 1111.13 4.77871e+07 403387 0.0204138
96300000 258.514 388.513 422.886 1069.91 4.24729e+07 374054 0.0204118
96400000 267.679 372.884 438.871 1079.43 4.3805e+07 380937 0.0204084
96500000 258.002 373.738 463.94 1095.68 4.47355e+07 389514 0.0204265
96600000 262.361 347.048 427.986 1037.39 3.89688e+07 351870 0.0204231
96700000 280.163 337.759 434.374 1052.3 4.11037e+07 363037 0.0204125
96800000 255.535 378.078 439.742 1073.35 4.24843e+07 375238 0.0204193
96900000 253.946 413.601 443.526 1111.07 4.65846e+07 401107 0.0204336
97000000 268.427 422.529 456.093 1147.05 5.17292e+07 428558 0.0204412
97100000 283.537 417.041 437.768 1138.35 5.17647e+07 424938 0.0204281
97200000 260.413 384.342 409.154 1053.91 4.09513e+07 363892 0.0204195
